1,11.0,2018-12-06 17:27:22.021204,2018-12-06 17:27:31.899091,0:00:09.877887,-32.67786002551283,-18.52719839635508,-0.8411483141585641,4.317734664406152,1000.0,36.39930488685681
2,35.0,2018-12-06 17:27:42.559841,2018-12-06 17:27:53.190089,0:00:10.630248,-38.88772785348014,-185.39316061092345,-5.0519795523917645,0.8553523495279539,769.8589100099362,-215.6403906218984
1,1.0,2018-12-06 17:31:42.409246,2018-12-06 17:31:55.330210,0:00:12.920964,11,-31.16778285472589,-22.62288386001778,-1.0,4.974860712457998,1000.0,33.9587217695698
2,40.0,2018-12-06 17:32:05.708726,2018-12-06 17:32:18.406364,0:00:12.697638,17,99.64659087558046,-98.14414872084188,-12.438102516762973,10.5056890232322,589.4476323817767,-253.35459285432873
3,35.0,2018-12-06 17:32:43.788056,2018-12-06 17:32:52.368952,0:00:08.580896,78,149.1445855079636,277.9689516747172,1.7913369876546135,20.8201059731938,418.84774885575087,-69.19289222428834
4,225.0,2018-12-06 17:35:13.705428,2018-12-06 17:35:24.238333,0:00:10.532905,651,-49.99326907807104,3.318964927245119,-12.708786634364383,15.067260353735005,143.8724415221692,-11.961362975804938
5,63.0,2018-12-06 17:36:19.695854,2018-12-06 17:36:28.728095,0:00:09.032241,263,-33.29938262489305,-8.822612533064696,-13.509429057070257,14.617105412233162,32.51065039544007,1.6908763505146331
6,24.0,2018-12-06 17:36:54.372375,2018-12-06 17:37:07.165179,0:00:12.792804,110,-33.72395220815292,-14.573262134097986,-13.751716072165294,14.866416765382157,15.64713040337134,-10.03968988558935
7,26.0,2018-12-06 17:37:34.669173,2018-12-06 17:37:46.880281,0:00:12.211108,122,-29.486730123920605,-15.290200215418267,-13.694537399570159,14.797563545215228,11.18710494589081,0.7039040653679978
8,40.0,2018-12-06 17:38:18.209101,2018-12-06 17:38:30.562985,0:00:12.353884,143,-27.371222008011607,-16.033352889241073,-13.27609391553066,14.970910538725603,4.48895334335732,-5.1243987247395095
9,101.0,2018-12-06 17:41:00.510591,2018-12-06 17:41:10.383560,0:00:09.872969,745,-29.809693833030153,-20.57795369698369,-13.401522320701503,15.091775200038235,5.700198222620556,0.7726698114277504
10,43.0,2018-12-06 17:41:34.945068,2018-12-06 17:41:44.701995,0:00:09.756927,116,-28.269705941044286,-25.356004053359722,-13.390934618238333,15.402098500593105,5.700198222620556,-1.0017340114634914
11,153.0,2018-12-06 17:43:38.136417,2018-12-06 17:43:45.871436,0:00:07.735019,534,-26.00321197541771,-15.386530996003668,-12.896840352163002,15.071378051945738,1.8224914007394597,-1.0732874039425417
12,52.0,2018-12-06 17:44:26.630886,2018-12-06 17:44:34.560457,0:00:07.929571,175,-26.102884142897587,-12.342437527662913,-12.157429638563741,14.923454006546741,5.584929170030641,7.74598708045007
13,19.0,2018-12-06 17:44:45.269378,2018-12-06 17:44:54.854192,0:00:09.584814,35,-33.50109365767041,-16.57602286859141,-11.343620723287295,15.111906612090669,5.584929170030641,7.74598708045007
14,22.0,2018-12-06 17:46:43.035232,2018-12-06 17:46:51.902192,0:00:08.866960,533,-30.804738227279188,-21.924771010512984,-10.815153601443944,15.002037061523156,0.37169499131901684,6.0321710554054295
15,102.0,2018-12-06 17:48:09.690101,2018-12-06 17:48:19.634174,0:00:09.944073,346,-26.04512353778176,-23.141314900311954,-10.876861777909921,14.384814596576643,-2.6354933330704955,0.6768706041579173
16,30.0,2018-12-06 17:49:01.315327,2018-12-06 17:49:10.393100,0:00:09.077773,207,-25.879400273227866,-28.075481254660623,-10.79580746766659,14.34731955403586,-0.0155478490794696,0.05425693509521223
17,31.0,2018-12-06 17:49:52.040697,2018-12-06 17:50:00.197007,0:00:08.156310,200,-25.21101656920661,-27.032872253899377,-10.795675152277115,14.907535415697502,-0.2686885886800069,1.3584681093334046
18,10.0,2018-12-06 17:50:17.781393,2018-12-06 17:50:25.725333,0:00:07.943940,84,-24.232522896477946,-26.881627155567735,-10.793347310597047,14.953430025329338,-0.5727042408434512,0.015947849281210624
19,33.0,2018-12-06 17:51:00.305239,2018-12-06 17:51:08.034387,0:00:07.729148,149,-19.120238544142065,-25.767517189822826,-10.768268967531787,14.036126943860951,4.633790907981754,1.4161120039038648
20,45.0,2018-12-06 17:52:15.591173,2018-12-06 17:52:26.729380,0:00:11.138207,335,-22.39444866299175,-30.73545617988627,-10.759930680733342,14.164234191484004,2.832437742349429,-0.7061452726871784
21,72.0,2018-12-06 17:53:43.512454,2018-12-06 17:53:52.486759,0:00:08.974305,370,-23.411868020467786,-28.365998534799218,-10.666371398807376,12.255209829770166,1.0094925026637809,-0.22540669597616236
22,15.0,2018-12-06 17:54:13.171373,2018-12-06 17:54:22.994473,0:00:09.823100,84,-21.965164608039856,-29.55684418785968,-10.653169458491893,12.37569391125163,3.041352731747197,0.6211022864585666
23,85.0,2018-12-06 17:55:27.379834,2018-12-06 17:55:36.927658,0:00:09.547824,306,-21.56493266648954,-29.104795702448154,-10.66356442263992,12.637230367983209,3.041352731747197,-1.1881535348739365
24,3.0,2018-12-06 17:55:46.437205,2018-12-06 17:55:55.665166,0:00:09.227961,47,-22.448960770279204,-26.609973623918634,-10.658075726647477,12.87044908749388,3.041352731747197,-1.1881535348739365
25,48.0,2018-12-06 17:57:02.207241,2018-12-06 17:57:12.593830,0:00:10.386589,327,-24.461653570710812,-27.452753453259238,-10.644310087001227,13.047215215624835,1.9598377903085005,-1.9170868133493126
26,26.0,2018-12-06 17:57:48.275929,2018-12-06 17:57:59.119834,0:00:10.843905,165,-14.474370927742736,-14.037675840782782,-10.532912194569631,12.219289296969746,6.695228007005488,4.4403462888476275
27,34.0,2018-12-06 17:58:29.780550,2018-12-06 17:58:42.334793,0:00:12.554243,133,-28.231706177480383,-24.466594186869997,-10.38402161093266,12.68191911670136,4.937462197045399,3.1208631432506087
28,31.0,2018-12-06 17:59:21.972973,2018-12-06 17:59:30.737107,0:00:08.764134,196,-26.545038713757883,-25.138799092637814,-10.317309871821536,12.587742112882331,2.95555837343465,0.3851310477087708
29,43.0,2018-12-06 17:59:52.245502,2018-12-06 18:00:02.089731,0:00:09.844229,107,-24.36658491967811,-27.450347206825448,-10.326748464826618,12.780246290717187,1.2992300217786061,-1.6874576967599455
30,38.0,2018-12-06 18:00:33.665506,2018-12-06 18:00:43.414893,0:00:09.749387,147,-24.766100770925863,-21.324163685893947,-10.269139112873837,13.733296156542961,2.9908342211108456,0.8953854198897438
1,46.0,2018-12-06 18:30:51.652469,2018-12-06 18:31:01.622027,0:00:09.969558,124,59.827748778756074,-131.21748993834447,-6.639042652578837,2.919397203800809,666.6747423274977,-111.75621797634659
2,12.0,2018-12-06 18:31:10.909014,2018-12-06 18:31:18.658972,0:00:07.749958,21,84.15288392103409,-108.99685440261703,-5.725001638259885,3.5187498684688685,666.6747423274977,-111.75621797634659
3,23.0,2018-12-06 18:31:42.138077,2018-12-06 18:31:54.354670,0:00:12.216593,109,66.54843681925588,-119.7236430023819,-5.725001638259885,3.3557933281906003,666.6747423274977,-111.75621797634659
4,202.0,2018-12-06 18:32:55.844412,2018-12-06 18:33:04.779273,0:00:08.934861,272,-39.45676838214396,58.6283853836467,3.765436710060433,18.857880869387095,144.60776446050568,-207.3222179126031
