5,59,,,,,,,,,
1,154,,,,,,,,,
2,88,,,,,,,,,
3,56,,,,,,,,,
5,36,,,,,,,,,
6,30,,,,,,,,,
7,22,,,,,,,,,
8,3,,,,,,,,,
9,79,,,,,,,,,
10,14,,,,,,,,,
11,63,,,,,,,,,
1,66,-2091.04122,-2087.04122,-84.00215084,-136.8841308,6.865714461,6.551741001,,,
2,116,-2252.010249,-2248.010249,-83.34141508,-139.8817209,-1.163050137,2.549690483,,,
3,205,-1988.365055,-1984.365055,-73.03241391,-120.39637,11.38546996,13.01070896,,,
4,8,-1847.343763,-1843.343763,-73.11177689,-111.5046822,11.38546996,7.721010891,,,
5,60,-913.2335026,-909.2335026,-72.79712309,-92.24470086,7.068840969,9.713297943,,,
6,24,-2060.426842,-2056.426842,-72.92168323,-86.3448421,1.440489665,0.845880506,,,
7,23,-2098.049806,-2094.049806,-72.71422299,-63.56874515,2.297705335,2.113259999,,,
1,2,-2461.362674,-2457.362674,-72.44716263,-52.24809824,6.10938472,18.76281795,,,
2,15,-2552.530588,-2548.530588,-43.87848943,-13.96542781,6.10938472,18.76281795,,,
1,57,Thu Dec  6 02:09:26 2018,-2485.125981,-2481.125981,-36.44858814,21.20543484,-1.510684578,6.987362875,,
2,30,Thu Dec  6 02:09:49 2018,-2366.025577,-2362.025577,-27.08174456,83.12393087,-1.518594042,2.48206883,,
3,0,Thu Dec  6 02:10:03 2018,-2471.183062,-2467.183062,-27.08174456,63.77539384,-1.518594042,2.48206883,,
1,219,8.579853058,-2304.06097,-2300.06097,-25.73577466,53.68350211,3.454555688,0.642680648,,
2,36,9.766646862,-2178.952725,-2174.952725,-25.48487533,58.30624038,1.805323406,3.70303327,,
3,117,9.207520008,-2338.760204,-2334.760204,-58.93164275,59.73221449,-0.461188853,0.643405294,,
4,138,8.738712072,-2078.506358,-2074.506358,-44.51324007,69.94258955,-0.977554731,5.022804172,,
5,11,10.93815804,-2348.134114,-2344.134114,-44.43146322,69.0252059,-1.564356467,2.915572987,,
1,48,14.4058919,-1921.082363,-1917.082363,-44.26891598,60.84426326,-1.38723074,4.383430363,,
2,159,9.797469854,-2430.062125,-2426.062125,-43.87070127,55.95577935,-0.545609946,0.687203079,,
3,23,8.97939682,-1864.958241,-1860.958241,-40.08372358,57.40209567,0.518009299,2.996780809,,
4,27,13.28780508,-2217.180287,-2213.180287,-39.80574316,44.94920979,0.518009299,2.996780809,,
5,30,10.95114398,-2324.048787,-2320.048787,-39.76654175,35.83640345,0.518009299,1.267482541,,
6,55,9.7067101,-2328.277778,-2324.277778,-74.25594516,21.33375376,-0.912507468,-0.163034225,,
7,186,7.919828892,-1748.589903,-1744.589903,-65.0355459,61.418275,1.56500735,14.85477539,,
8,28,10.56173301,-2478.671877,-2474.671877,-65.03329366,65.07976216,1.56500735,14.85477539,,
